t_s,thrust_N,current_A,temp_C,injected_anomaly,flag_overcurrent,temp_rate_C_per_hr,flag_thermal,flag_dropout,flag_any
0,0.0402437736638035,1.7704617450743705,45.30955899250688,False,False,0.0,False,False,False
60,0.0391680127150076,1.7973221233743752,45.03912814528825,False,False,0.0,False,False,False
120,0.0406003609566451,1.872755455047132,44.909347849645584,False,False,0.0,False,False,False
180,0.0407524517731129,1.897253492437192,45.17574192396386,False,False,0.0,False,False,False
240,0.0384391718490769,1.8241996758098424,44.788339744141545,False,False,0.0,False,False,False
300,0.0389582563945101,1.779663884956732,45.13728040401955,False,False,0.0,False,False,False
360,0.0401022723225338,1.93460789879848,45.11548838923223,False,False,0.0,False,False,False
420,0.0397470059261251,1.776912058008206,45.31707559145393,False,False,0.0,False,False,False
480,0.0399865590739965,1.7691586606245742,44.70826875649074,False,False,0.0,False,False,False
540,0.0393175648579411,1.7041530755927488,45.37513506607038,False,False,0.0,False,False,False
600,0.0407035183798902,1.875388944739216,44.56914079756042,False,False,0.0,False,False,False
660,0.0406222335483431,1.8522852619880497,44.73824287262862,False,False,0.0,False,False,False
720,0.0400528245580489,1.930561498950288,44.76229332326994,False,False,0.0,False,False,False
780,0.0409017929655744,1.724965738980221,44.49295962105953,False,False,0.0,False,False,False
840,0.0403740074738016,1.878741223603872,45.53904630334278,False,False,0.0,False,False,False
900,0.0393125660296934,1.803787317991771,44.54891857795861,False,False,0.0,False,False,False
960,0.040295000627266,1.8435294117072076,44.68621630175375,False,False,0.0,False,False,False
1020,0.0392328939193368,1.7110200343803583,45.66560798010397,False,False,0.0,False,False,False
1080,0.0407027602410458,1.879276418423926,44.75484242833739,False,False,0.0,False,False,False
1140,0.039960059271211,1.842471904571919,44.94829209109873,False,False,0.0,False,False,False
1200,0.0398521101091637,1.7978988581215445,44.53857858761308,False,False,0.0,False,False,False
1260,0.0394552563644768,1.834836085133701,45.46329834628626,False,False,0.0,False,False,False
1320,0.0409780330709392,1.7586632537437186,45.47242051897402,False,False,0.0,False,False,False
