t_s,thrust_N,current_A,temp_C,injected_anomaly
0,0.04024377366380354,1.7704617450743703,45.30955899250688,False
60,0.039168012715007604,1.7973221233743752,45.03912814528825,False
120,0.04060036095664517,1.8727554550471321,44.909347849645584,False
180,0.04075245177311297,1.8972534924371918,45.17574192396386,False
240,0.038439171849076935,1.8241996758098422,44.788339744141545,False
300,0.03895825639451014,1.779663884956732,45.13728040401955,False
360,0.04010227232253383,1.93460789879848,45.115488389232226,False
420,0.03974700592612514,1.776912058008206,45.31707559145393,False
480,0.03998655907399657,1.7691586606245742,44.70826875649074,False
540,0.039317564857941134,1.7041530755927488,45.37513506607038,False
600,0.040703518379890266,1.8753889447392162,44.56914079756042,False
660,0.040622233548343156,1.8522852619880499,44.73824287262862,False
720,0.040052824558048976,1.9305614989502882,44.76229332326994,False
780,0.040901792965574425,1.7249657389802213,44.49295962105953,False
840,0.04037400747380164,1.8787412236038719,45.53904630334278,False
900,0.03931256602969341,1.803787317991771,44.54891857795861,False
960,0.040295000627266,1.8435294117072074,44.686216301753745,False
1020,0.0392328939193368,1.7110200343803585,45.665607980103964,False
1080,0.04070276024104582,1.8792764184239261,44.75484242833739,False
1140,0.039960059271211,1.842471904571919,44.94829209109873,False
1200,0.03985211010916379,1.7978988581215443,44.53857858761308,False
1260,0.039455256364476846,1.8348360851337007,45.46329834628626,False
1320,0.040978033070939224,1.7586632537437186,45.47242051897402,False
1380,0.03987637641434496,1.7687102353785882,45.42075500334377,False
1440,0.03965733774226952,1.7749739908642286,45.32227661978259,False
1500,0.03971829315960942,1.699952695468725,45.09253591559892,False
1560,0.04042584734844268,1.846534958686982,44.79578268102376,False
1620,0.04029235525149126,1.8643460551658586,44.652716015563314,False
1680,0.04033018608927679,1.7621274159127527,45.70738308668072,False
1740,0.04034465680240631,1.8188029628610203,45.44706211356675,False
1800,0.04171331808069637,1.7856608143700212,44.720237518506806,False
1860,0.03967486798689231,1.8177267939523758,45.08903517062216,False
1920,0.039590205816742774,1.7661108289746044,44.92129139442165,False
1980,0.0393489818174017,1.7522950415712677,44.50947324246485,False
2040,0.0404927835380604,1.8568120438452822,45.16463393803194,False
2100,0.04090317783417671,1.7965509884032775,44.870291572005264,False
2160,0.0399088420338761,1.9091938833460878,44.60399922538058,False
2220,0.039327874818429975,1.8025007380988836,44.34293093586112,False
2280,0.03934041502744701,1.7499917858210734,44.30282511723273,False
2340,0.04052047423025976,1.8662548073275407,44.901243457891816,False
2400,0.040594603336962756,1.834063208863885,45.04663869093024,False
2460,0.04043452341464416,1.839251134639607,44.65376542546511,False
2520,0.03946759223416905,1.8642924366588676,45.419015198778446,False
2580,0.04018572905845338,1.7647490001323272,45.06310186846192,False
2640,0.040093348647312586,1.7931283213147946,45.386547449056295,False
2700,0.04017495087738321,1.7907417090996591,45.008879053066686,False
2760,0.04069714302235855,1.7302996870065566,44.70900528496055,False
2820,0.040178876439019746,1.7857661318914548,45.16185254253698,False
2880,0.040543130850457514,1.8721644907253485,44.47568615536208,False
2940,0.04005406325559111,1.8128162576048679,45.37897232609313,False
3000,0.040231295518951986,1.7273126882963707,44.6429081169218,False
